"Bundesland";"Datum";"R_eff";"R_eff_lwr";"R_eff_upr"
"Burgenland";2020-03-12;NA;NA;NA
"Burgenland";2020-03-13;NA;NA;NA
"Burgenland";2020-03-14;NA;NA;NA
"Burgenland";2020-03-15;NA;NA;NA
"Burgenland";2020-03-16;NA;NA;NA
"Burgenland";2020-03-17;NA;NA;NA
"Burgenland";2020-03-18;NA;NA;NA
"Burgenland";2020-03-19;2,11154030168354;1,37932822946433;2,99716348500821
"Burgenland";2020-03-20;1,93240953121428;1,30378859597004;2,68275368101063
"Burgenland";2020-03-21;2,47717389669302;1,82647248039732;3,22548872011282
"Burgenland";2020-03-22;2,37840032816014;1,81497001287904;3,01683041826013
"Burgenland";2020-03-23;2,46000362518829;1,95937915583495;3,01672381903034
"Burgenland";2020-03-24;1,8266664074822;1,45492959719138;2,24005688627893
"Burgenland";2020-03-25;1,45271621165535;1,15874334396773;1,77942150007526
"Burgenland";2020-03-26;1,65276109935294;1,36087837645801;1,97257970413497
"Burgenland";2020-03-27;1,74188486522605;1,46144733575231;2,04657176020854
"Burgenland";2020-03-28;1,61958779646084;1,36997946972703;1,88977673177742
"Burgenland";2020-03-29;1,54237199521693;1,317312384377;1,78491941287044
"Burgenland";2020-03-30;1,38918182787141;1,19043367157866;1,6030474880633
"Burgenland";2020-03-31;1,20424435639613;1,03001939004119;1,39188250113606
"Burgenland";2020-04-01;1,13532744867986;0,972897856896744;1,31011202293385
"Burgenland";2020-04-02;1,09722462486144;0,941530641024483;1,26465664852697
"Burgenland";2020-04-03;0,9947770481761;0,849202232020346;1,15169881649013
"Burgenland";2020-04-04;0,980443454766564;0,836966204320905;1,1351041608373
"Burgenland";2020-04-05;0,869328999044724;0,734479819724559;1,01537523697604
"Burgenland";2020-04-06;0,899998799918463;0,761292398819992;1,05014176720159
"Burgenland";2020-04-07;0,936733311631232;0,792827102718027;1,09246356614088
"Burgenland";2020-04-08;0,829252728352552;0,692334930723817;0,97834091633152
"Burgenland";2020-04-09;0,720354364576472;0,590920647522438;0,862414563585155
"Burgenland";2020-04-10;0,718971468946971;0,585614069624317;0,865803906893576
"Burgenland";2020-04-11;0,675913806395884;0,541379250619891;0,825153247078227
"Burgenland";2020-04-12;0,73062385302525;0,583596383797637;0,893920138842591
"Burgenland";2020-04-13;0,799492150007961;0,637706249812236;0,979292107743799
"Burgenland";2020-04-14;0,798519434238435;0,630179050051283;0,98648606570938
"Burgenland";2020-04-15;0,791087737859486;0,617846086561092;0,98541441650206
"Burgenland";2020-04-16;0,859203811703864;0,672274066326433;1,06871635451348
"Burgenland";2020-04-17;0,86193932168283;0,669329609864814;1,07853493365972
"Burgenland";2020-04-18;0,90647300483782;0,703911757380461;1,13425942817915
"Burgenland";2020-04-19;0,930454478186532;0,721089440388468;1,16609808028081
"Burgenland";2020-04-20;1,00265358698213;0,781617659918994;1,25079482431463
"Burgenland";2020-04-21;0,91725446915433;0,70484351921948;1,15721408943311
"Burgenland";2020-04-22;0,932392352855237;0,716475884697207;1,17631214007443
"Burgenland";2020-04-23;0,878534798751589;0,667108305721717;1,11861884067559
"Burgenland";2020-04-24;0,844279465050916;0,634248718762748;1,08388761778
"Burgenland";2020-04-25;0,784123033623281;0,578150425398281;1,0209941270207
"Burgenland";2020-04-26;0,780182113603267;0,569070187241277;1,02408344833722
"Burgenland";2020-04-27;0,819343603783279;0,595336316814947;1,07856749237441
"Burgenland";2020-04-28;0,859140711545391;0,621764392924032;1,1343014790294
"Burgenland";2020-04-29;0,784810412753379;0,552578957276212;1,05714332708608
"Burgenland";2020-04-30;0,699475379257553;0,475259583897115;0,966333481111137
"Burgenland";2020-05-01;0,686381192480035;0,456095317703162;0,962982577271362
"Burgenland";2020-05-02;0,70650939870677;0,461515395771105;1,00283388857448
"Burgenland";2020-05-03;0,606202690203034;0,370284351879496;0,899327562785775
"Burgenland";2020-05-04;0,582548985029256;0,339356251381534;0,890374639910396
"Burgenland";2020-05-05;0,593511977836561;0,332184148557991;0,929424766043473
"Burgenland";2020-05-06;0,647032969069996;0,353738945123536;1,02741421960913
"Burgenland";2020-05-07;NA;NA;NA
"Burgenland";2020-05-08;NA;NA;NA
"Burgenland";2020-05-09;NA;NA;NA
"Burgenland";2020-05-10;NA;NA;NA
"Burgenland";2020-05-11;NA;NA;NA
"Burgenland";2020-05-12;NA;NA;NA
"Burgenland";2020-05-13;NA;NA;NA
"Burgenland";2020-05-14;NA;NA;NA
"Burgenland";2020-05-15;NA;NA;NA
"Burgenland";2020-05-16;NA;NA;NA
"Burgenland";2020-05-17;NA;NA;NA
"Burgenland";2020-05-18;NA;NA;NA
"Burgenland";2020-05-19;NA;NA;NA
"Burgenland";2020-05-20;NA;NA;NA
"Burgenland";2020-05-21;NA;NA;NA
"Burgenland";2020-05-22;NA;NA;NA
"Burgenland";2020-05-23;NA;NA;NA
"Burgenland";2020-05-24;NA;NA;NA
"Burgenland";2020-05-25;NA;NA;NA
"Burgenland";2020-05-26;NA;NA;NA
"Burgenland";2020-05-27;NA;NA;NA
"Burgenland";2020-05-28;NA;NA;NA
"Burgenland";2020-05-29;NA;NA;NA
"Burgenland";2020-05-30;NA;NA;NA
"Burgenland";2020-05-31;NA;NA;NA
"Burgenland";2020-06-01;NA;NA;NA
"Burgenland";2020-06-02;NA;NA;NA
"Burgenland";2020-06-03;NA;NA;NA
"Burgenland";2020-06-04;NA;NA;NA
"Burgenland";2020-06-05;NA;NA;NA
"Burgenland";2020-06-06;NA;NA;NA
"Burgenland";2020-06-07;NA;NA;NA
"Burgenland";2020-06-08;NA;NA;NA
"Burgenland";2020-06-09;NA;NA;NA
"Burgenland";2020-06-10;NA;NA;NA
"Burgenland";2020-06-11;NA;NA;NA
"Burgenland";2020-06-12;NA;NA;NA
"Burgenland";2020-06-13;NA;NA;NA
"Burgenland";2020-06-14;NA;NA;NA
"Burgenland";2020-06-15;NA;NA;NA
"Burgenland";2020-06-16;NA;NA;NA
"Burgenland";2020-06-17;NA;NA;NA
"Burgenland";2020-06-18;NA;NA;NA
"Burgenland";2020-06-19;NA;NA;NA
"Burgenland";2020-06-20;NA;NA;NA
"Burgenland";2020-06-21;NA;NA;NA
"Burgenland";2020-06-22;NA;NA;NA
"Burgenland";2020-06-23;NA;NA;NA
"Burgenland";2020-06-24;NA;NA;NA
"Burgenland";2020-06-25;NA;NA;NA
"Burgenland";2020-06-26;NA;NA;NA
"Burgenland";2020-06-27;NA;NA;NA
"Burgenland";2020-06-28;NA;NA;NA
"Burgenland";2020-06-29;NA;NA;NA
"Burgenland";2020-06-30;NA;NA;NA
"Burgenland";2020-07-01;NA;NA;NA
"Burgenland";2020-07-02;NA;NA;NA
"Burgenland";2020-07-03;1,72758296901952;1,00638074287882;2,64045789021302
"Burgenland";2020-07-04;1,53321373682417;0,893153502394643;2,34338169649705
"Burgenland";2020-07-05;1,34002162079991;0,780611975458212;2,04810462081904
"Burgenland";2020-07-06;1,20970151784274;0,704695713039563;1,84892186069846
"Burgenland";2020-07-07;1,06707460552217;0,609925335879307;1,64997870580143
"Burgenland";2020-07-08;1,16608501769856;0,691095884095523;1,7632920141143
"Burgenland";2020-07-09;1,33214432700768;0,824618334539633;1,95941797111988
"Burgenland";2020-07-10;1,20756669256184;0,737613107518159;1,79147672564631
"Burgenland";2020-07-11;1,08314275292818;0,652122692956922;1,62173607214795
"Burgenland";2020-07-12;1,04714697709685;0,630450884502553;1,56784137733252
"Burgenland";2020-07-13;1,14455838260723;0,708499678386204;1,68350246922124
"Burgenland";2020-07-14;1,28942230642592;0,826157201766015;1,85415128675817
"Burgenland";2020-07-15;1,08053124776573;0,668865872778265;1,58932654841126
"Burgenland";2020-07-16;0,890984339258868;0,528053787082056;1,34729933604395
"Burgenland";2020-07-17;1,04471783801822;0,646696807684162;1,53664949439867

"Burgenland";2020-07-18;1,11351006410103;0,697830828856158;1,62474939719804
"Burgenland";2020-07-19;1,26068857450839;0,815851174246589;1,80077248124097
"Burgenland";2020-07-20;1,41009388584751;0,94436200592703;1,96770315976991
"Burgenland";2020-07-21;1,21776767375495;0,802516570373531;1,71822617137111
"Burgenland";2020-07-22;1,0477273510258;0,678033899020618;1,49657783827104
"Burgenland";2020-07-23;1,05111249010426;0,686621576101296;1,49197056360457
"Burgenland";2020-07-24;1,07979780526012;0,711593557662945;1,52355567385537
"Burgenland";2020-07-25;1,18939137385696;0,802477365346781;1,65122559935419
"Burgenland";2020-07-26;1,23599317083734;0,845418413881165;1,69956884453207
"Burgenland";2020-07-27;1,03204143781532;0,685784040443239;1,44793874675863
"Burgenland";2020-07-28;1,1074686632214;0,752471225821221;1,52998101189517
"Burgenland";2020-07-29;1,22834652962846;0,855588364591497;1,6674485504933
"Burgenland";2020-07-30;1,32122403769978;0,93951944856575;1,76698364855703
"Burgenland";2020-07-31;1,24032256588005;0,881990593486365;1,65878732925713
"Burgenland";2020-08-01;1,03969267360353;0,724184041579271;1,41135583464635
"Burgenland";2020-08-02;0,915240186409436;0,626023609977044;1,25851318824957
"Burgenland";2020-08-03;0,976306675013615;0,676120753813263;1,33077115988583
"Burgenland";2020-08-04;0,995871474366825;0,689669946116709;1,35743928722179
"Burgenland";2020-08-05;0,980856423416036;0,675176429784404;1,34271671201211
"Burgenland";2020-08-06;0,932137407584739;0,633342144127905;1,28775881561602
"Burgenland";2020-08-07;0,888361032013368;0,594949325431139;1,23965561956787
"Burgenland";2020-08-08;0,853729040827233;0,562612817402493;1,20458081851176
"Burgenland";2020-08-09;0,893025337763273;0,588509324696245;1,26002647312113
"Burgenland";2020-08-10;0,86706083641884;0,561116056605328;1,23851308352952
"Burgenland";2020-08-11;0,799982583415799;0,501344825927756;1,16727388649432
"Burgenland";2020-08-12;0,694119348778514;0,411379117072148;1,04961052236053
"Burgenland";2020-08-13;0,797671723421931;0,480250484958922;1,19431441895226
"Burgenland";2020-08-14;0,874952099607238;0,526778319719801;1,31002250395774
"Burgenland";2020-08-15;0,941027398615404;0,566559966054646;1,40895378110455
