"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","DEATHCANCER","TOT","100000PER","A","1990",241,
"AUS","DEATHCANCER","TOT","100000PER","A","1991",241.9,
"AUS","DEATHCANCER","TOT","100000PER","A","1992",241.3,
"AUS","DEATHCANCER","TOT","100000PER","A","1993",240.9,
"AUS","DEATHCANCER","TOT","100000PER","A","1994",244.3,
"AUS","DEATHCANCER","TOT","100000PER","A","1995",235.8,
"AUS","DEATHCANCER","TOT","100000PER","A","1996",236.7,
"AUS","DEATHCANCER","TOT","100000PER","A","1997",229.1,
"AUS","DEATHCANCER","TOT","100000PER","A","1998",228.2,"B"
"AUS","DEATHCANCER","TOT","100000PER","A","1999",222.6,
"AUS","DEATHCANCER","TOT","100000PER","A","2000",221.3,
"AUS","DEATHCANCER","TOT","100000PER","A","2001",219.9,
"AUS","DEATHCANCER","TOT","100000PER","A","2002",218.4,
"AUS","DEATHCANCER","TOT","100000PER","A","2003",212.7,
"AUS","DEATHCANCER","TOT","100000PER","A","2004",212.4,
"AUS","DEATHCANCER","TOT","100000PER","A","2006",211.1,
"AUS","DEATHCANCER","TOT","100000PER","A","2007",203,
"AUS","DEATHCANCER","TOT","100000PER","A","2008",207.9,
"AUS","DEATHCANCER","TOT","100000PER","A","2009",200.8,
"AUS","DEATHCANCER","TOT","100000PER","A","2010",201.8,
"AUS","DEATHCANCER","TOT","100000PER","A","2011",199.6,
"AUS","DEATHCANCER","TOT","100000PER","A","2012",193.1,
"AUS","DEATHCANCER","TOT","100000PER","A","2013",192.3,
"AUS","DEATHCANCER","TOT","100000PER","A","2014",187.8,
"AUS","DEATHCANCER","TOT","100000PER","A","2015",190.5,
"AUS","DEATHCANCER","TOT","100000PER","A","2016",185.2,
"AUS","DEATHCANCER","TOT","100000PER","A","2017",179.8,
"AUT","DEATHCANCER","TOT","100000PER","A","1990",261.1,
"AUT","DEATHCANCER","TOT","100000PER","A","1991",259.4,
"AUT","DEATHCANCER","TOT","100000PER","A","1992",258.1,
"AUT","DEATHCANCER","TOT","100000PER","A","1993",258.4,
"AUT","DEATHCANCER","TOT","100000PER","A","1994",249.4,
"AUT","DEATHCANCER","TOT","100000PER","A","1995",247.9,
"AUT","DEATHCANCER","TOT","100000PER","A","1996",241.3,
"AUT","DEATHCANCER","TOT","100000PER","A","1997",239.9,
"AUT","DEATHCANCER","TOT","100000PER","A","1998",235.1,
"AUT","DEATHCANCER","TOT","100000PER","A","1999",232.4,
"AUT","DEATHCANCER","TOT","100000PER","A","2000",229.7,
"AUT","DEATHCANCER","TOT","100000PER","A","2001",222.9,
"AUT","DEATHCANCER","TOT","100000PER","A","2002",221,"B"
"AUT","DEATHCANCER","TOT","100000PER","A","2003",225.9,
"AUT","DEATHCANCER","TOT","100000PER","A","2004",223.4,
"AUT","DEATHCANCER","TOT","100000PER","A","2005",217.1,
"AUT","DEATHCANCER","TOT","100000PER","A","2006",212,
"AUT","DEATHCANCER","TOT","100000PER","A","2007",207.1,
"AUT","DEATHCANCER","TOT","100000PER","A","2008",212,
"AUT","DEATHCANCER","TOT","100000PER","A","2009",206.8,
"AUT","DEATHCANCER","TOT","100000PER","A","2010",204,
"AUT","DEATHCANCER","TOT","100000PER","A","2011",202.9,
"AUT","DEATHCANCER","TOT","100000PER","A","2012",201.9,
"AUT","DEATHCANCER","TOT","100000PER","A","2013",197.1,
"AUT","DEATHCANCER","TOT","100000PER","A","2014",197.2,
"AUT","DEATHCANCER","TOT","100000PER","A","2015",192.1,
"AUT","DEATHCANCER","TOT","100000PER","A","2016",187.3,
"AUT","DEATHCANCER","TOT","100000PER","A","2017",184.7,
"BEL","DEATHCANCER","TOT","100000PER","A","1990",278,
"BEL","DEATHCANCER","TOT","100000PER","A","1991",276,
"BEL","DEATHCANCER","TOT","100000PER","A","1992",276.7,
"BEL","DEATHCANCER","TOT","100000PER","A","1993",277.6,
"BEL","DEATHCANCER","TOT","100000PER","A","1994",275.3,
"BEL","DEATHCANCER","TOT","100000PER","A","1995",275.3,
"BEL","DEATHCANCER","TOT","100000PER","A","1996",266.3,
"BEL","DEATHCANCER","TOT","100000PER","A","1997",267.3,
"BEL","DEATHCANCER","TOT","100000PER","A","1998",259.2,"B"
"BEL","DEATHCANCER","TOT","100000PER","A","1999",251.2,
"BEL","DEATHCANCER","TOT","100000PER","A","2000",242.7,
"BEL","DEATHCANCER","TOT","100000PER","A","2001",239.7,
"BEL","DEATHCANCER","TOT","100000PER","A","2002",237.5,
"BEL","DEATHCANCER","TOT","100000PER","A","2003",230.4,
"BEL","DEATHCANCER","TOT","100000PER","A","2004",225.8,
"BEL","DEATHCANCER","TOT","100000PER","A","2005",226.1,
"BEL","DEATHCANCER","TOT","100000PER","A","2006",220.9,
"BEL","DEATHCANCER","TOT","100000PER","A","2007",220.5,
"BEL","DEATHCANCER","TOT","100000PER","A","2008",222,
"BEL","DEATHCANCER","TOT","100000PER","A","2009",216.4,
"BEL","DEATHCANCER","TOT","100000PER","A","2010",217.1,
"BEL","DEATHCANCER","TOT","100000PER","A","2011",213.6,
"BEL","DEATHCANCER","TOT","100000PER","A","2012",207,
"BEL","DEATHCANCER","TOT","100000PER","A","2013",205,
"BEL","DEATHCANCER","TOT","100000PER","A","2014",199.4,
"BEL","DEATHCANCER","TOT","100000PER","A","2015",197.5,
"BEL","DEATHCANCER","TOT","100000PER","A","2016",193.9,
"CAN","DEATHCANCER","TOT","100000PER","A","1990",257.6,
"CAN","DEATHCANCER","TOT","100000PER","A","1991",256.5,
"CAN","DEATHCANCER","TOT","100000PER","A","1992",250.2,
"CAN","DEATHCANCER","TOT","100000PER","A","1993",249.5,
"CAN","DEATHCANCER","TOT","100000PER","A","1994",248.4,
"CAN","DEATHCANCER","TOT","100000PER","A","1995",244.1,
"CAN","DEATHCANCER","TOT","100000PER","A","1996",248,
"CAN","DEATHCANCER","TOT","100000PER","A","1997",240.2,
"CAN","DEATHCANCER","TOT","100000PER","A","1998",242,
"CAN","DEATHCANCER","TOT","100000PER","A","1999",240.8,
"CAN","DEATHCANCER","TOT","100000PER","A","2000",238.8,"B"
"CAN","DEATHCANCER","TOT","100000PER","A","2001",238.1,
"CAN","DEATHCANCER","TOT","100000PER","A","2002",236.8,
"CAN","DEATHCANCER","TOT","100000PER","A","2003",233.9,
"CAN","DEATHCANCER","TOT","100000PER","A","2004",231.2,
"CAN","DEATHCANCER","TOT","100000PER","A","2005",226.9,
"CAN","DEATHCANCER","TOT","100000PER","A","2006",222.2,
"CAN","DEATHCANCER","TOT","100000PER","A","2007",221.8,
"CAN","DEATHCANCER","TOT","100000PER","A","2008",218.1,
"CAN","DEATHCANCER","TOT","100000PER","A","2009",214.3,
"CAN","DEATHCANCER","TOT","100000PER","A","2010",210.6,
"CAN","DEATHCANCER","TOT","100000PER","A","2011",208.5,
"CAN","DEATHCANCER","TOT","100000PER","A","2012",205.6,
"CAN","DEATHCANCER","TOT","100000PER","A","2013",203,
"CAN","DEATHCANCER","TOT","100000PER","A","2014",208.8,
"CAN","DEATHCANCER","TOT","100000PER","A","2015",196.8,
"CAN","DEATHCANCER","TOT","100000PER","A","2016",196.3,
"CAN","DEATHCANCER","TOT","100000PER","A","2017",192.6,
"CZE","DEATHCANCER","TOT","100000PER","A","1990",321.2,
"CZE","DEATHCANCER","TOT","100000PER","A","1991",319.5,
"CZE","DEATHCANCER","TOT","100000PER","A","1992",315.7,
"CZE","DEATHCANCER","TOT","100000PER","A","1993",316.3,
"CZE","DEATHCANCER","TOT","100000PER","A","1994",314.1,"B"
"CZE","DEATHCANCER","TOT","100000PER","A","1995",317,
"CZE","DEATHCANCER","TOT","100000PER","A","1996",305.4,
"CZE","DEATHCANCER","TOT","100000PER","A","1997",303.3,
"CZE","DEATHCANCER","TOT","100000PER","A","1998",301.2,
"CZE","DEATHCANCER","TOT","100000PER","A","1999",298.3,
"CZE","DEATHCANCER","TOT","100000PER","A","2000",300.4,
"CZE","DEATHCANCER","TOT","100000PER","A","2001",295.5,
"CZE","DEATHCANCER","TOT","100000PER","A","2002",298.9,
"CZE","DEATHCANCER","TOT","100000PER","A","2003",299.5,
"CZE","DEATHCANCER","TOT","100000PER","A","2004",295.7,
"CZE","DEATHCANCER","TOT","100000PER","A","2005",277.9,
"CZE","DEATHCANCER","TOT","100000PER","A","2006",271.8,
"CZE","DEATHCANCER","TOT","100000PER","A","2007",261.1,
