"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","DDEMANDFORECAST","DEC2020FORECAST","AGRWTH","Q","1970-Q2",2.53733133442469,
"AUT","DDEMANDFORECAST","DEC2020FORECAST","AGRWTH","Q","1970-Q3",4.41483732185981,
"AUT","DDEMANDFORECAST","DEC2020FORECAST","AGRWTH","Q","1970-Q4",5.26468961983471,
"AUT","DDEMANDFORECAST","DEC2020FORECAST","AGRWTH","Q","1971-Q1",5.82122529778408,
"AUT","DDEMANDFORECAST","DEC2020FORECAST","AGRWTH","Q","1971-Q2",5.01834368489036,
"AUT","DDEMANDFORECAST","DEC2020FORECAST","AGRWTH","Q","1971-Q3",5.14227252990282,
"AUT","DDEMANDFORECAST","DEC2020FORECAST","AGRWTH","Q","1971-Q4",5.9053789069323,
"AUT","DDEMANDFORECAST","DEC2020FORECAST","AGRWTH","Q","1972-Q1",7.41378780504374,
"AUT","DDEMANDFORECAST","DEC2020FORECAST","AGRWTH","Q","1972-Q2",8.06293271993326,
"AUT","DDEMANDFORECAST","DEC2020FORECAST","AGRWTH","Q","1972-Q3",8.31398769176085,
"AUT","DDEMANDFORECAST","DEC2020FORECAST","AGRWTH","Q","1972-Q4",7.64420163102224,
"AUT","DDEMANDFORECAST","DEC2020FORECAST","AGRWTH","Q","1973-Q1",6.83128637413943,
"AUT","DDEMANDFORECAST","DEC2020FORECAST","AGRWTH","Q","1973-Q2",4.91348808582488,
"AUT","DDEMANDFORECAST","DEC2020FORECAST","AGRWTH","Q","1973-Q3",3.86981330886415,
"AUT","DDEMANDFORECAST","DEC2020FORECAST","AGRWTH","Q","1973-Q4",3.30426186132865,
"AUT","DDEMANDFORECAST","DEC2020FORECAST","AGRWTH","Q","1974-Q1",3.41161565613355,
"AUT","DDEMANDFORECAST","DEC2020FORECAST","AGRWTH","Q","1974-Q2",2.2638865936342,
"AUT","DDEMANDFORECAST","DEC2020FORECAST","AGRWTH","Q","1974-Q3",1.02601195583682,
"AUT","DDEMANDFORECAST","DEC2020FORECAST","AGRWTH","Q","1974-Q4",-0.634252217292204,
"AUT","DDEMANDFORECAST","DEC2020FORECAST","AGRWTH","Q","1975-Q1",-4.43370753167447,
"AUT","DDEMANDFORECAST","DEC2020FORECAST","AGRWTH","Q","1975-Q2",-2.50767933180185,
"AUT","DDEMANDFORECAST","DEC2020FORECAST","AGRWTH","Q","1975-Q3",-1.1497349035674,
"AUT","DDEMANDFORECAST","DEC2020FORECAST","AGRWTH","Q","1975-Q4",2.22729484697606,
"AUT","DDEMANDFORECAST","DEC2020FORECAST","AGRWTH","Q","1976-Q1",7.9429885941521,
"AUT","DDEMANDFORECAST","DEC2020FORECAST","AGRWTH","Q","1976-Q2",11.2678826177225,
"AUT","DDEMANDFORECAST","DEC2020FORECAST","AGRWTH","Q","1976-Q3",13.3188748802781,
"AUT","DDEMANDFORECAST","DEC2020FORECAST","AGRWTH","Q","1976-Q4",12.0824305923077,
"AUT","DDEMANDFORECAST","DEC2020FORECAST","AGRWTH","Q","1977-Q1",11.2698259608006,
"AUT","DDEMANDFORECAST","DEC2020FORECAST","AGRWTH","Q","1977-Q2",2.69856801188689,
"AUT","DDEMANDFORECAST","DEC2020FORECAST","AGRWTH","Q","1977-Q3",-2.14461824486153,
"AUT","DDEMANDFORECAST","DEC2020FORECAST","AGRWTH","Q","1977-Q4",-5.10528874675939,
"AUT","DDEMANDFORECAST","DEC2020FORECAST","AGRWTH","Q","1978-Q1",-10.33018028325,
"AUT","DDEMANDFORECAST","DEC2020FORECAST","AGRWTH","Q","1978-Q2",-2.66269040083815,
"AUT","DDEMANDFORECAST","DEC2020FORECAST","AGRWTH","Q","1978-Q3",2.00966581980932,
"AUT","DDEMANDFORECAST","DEC2020FORECAST","AGRWTH","Q","1978-Q4",6.67455300106096,
"AUT","DDEMANDFORECAST","DEC2020FORECAST","AGRWTH","Q","1979-Q1",14.3086875732842,
"AUT","DDEMANDFORECAST","DEC2020FORECAST","AGRWTH","Q","1979-Q2",9.14410393608761,
"AUT","DDEMANDFORECAST","DEC2020FORECAST","AGRWTH","Q","1979-Q3",6.8909386945977,
"AUT","DDEMANDFORECAST","DEC2020FORECAST","AGRWTH","Q","1979-Q4",3.69012375569316,
"AUT","DDEMANDFORECAST","DEC2020FORECAST","AGRWTH","Q","1980-Q1",-0.756678223481954,
"AUT","DDEMANDFORECAST","DEC2020FORECAST","AGRWTH","Q","1980-Q2",-1.10848177369769,
"AUT","DDEMANDFORECAST","DEC2020FORECAST","AGRWTH","Q","1980-Q3",-1.67229178221297,
"AUT","DDEMANDFORECAST","DEC2020FORECAST","AGRWTH","Q","1980-Q4",-1.26547260472252,
"AUT","DDEMANDFORECAST","DEC2020FORECAST","AGRWTH","Q","1981-Q1",-0.427148317168849,
"AUT","DDEMANDFORECAST","DEC2020FORECAST","AGRWTH","Q","1981-Q2",-0.108316708793971,
"AUT","DDEMANDFORECAST","DEC2020FORECAST","AGRWTH","Q","1981-Q3",-0.173391208359596,
"AUT","DDEMANDFORECAST","DEC2020FORECAST","AGRWTH","Q","1981-Q4",-0.464770984033702,
"AUT","DDEMANDFORECAST","DEC2020FORECAST","AGRWTH","Q","1982-Q1",-1.39281646175085,
"AUT","DDEMANDFORECAST","DEC2020FORECAST","AGRWTH","Q","1982-Q2",0.0440975345951584,
"AUT","DDEMANDFORECAST","DEC2020FORECAST","AGRWTH","Q","1982-Q3",1.1605871927339,
"AUT","DDEMANDFORECAST","DEC2020FORECAST","AGRWTH","Q","1982-Q4",2.41613421405118,
"AUT","DDEMANDFORECAST","DEC2020FORECAST","AGRWTH","Q","1983-Q1",4.76657210097126,
"AUT","DDEMANDFORECAST","DEC2020FORECAST","AGRWTH","Q","1983-Q2",3.07952570524753,
"AUT","DDEMANDFORECAST","DEC2020FORECAST","AGRWTH","Q","1983-Q3",2.10084323010564,
"AUT","DDEMANDFORECAST","DEC2020FORECAST","AGRWTH","Q","1983-Q4",0.721773575146939,
"AUT","DDEMANDFORECAST","DEC2020FORECAST","AGRWTH","Q","1984-Q1",-1.8313653834586,
"AUT","DDEMANDFORECAST","DEC2020FORECAST","AGRWTH","Q","1984-Q2",-0.633575288411959,
"AUT","DDEMANDFORECAST","DEC2020FORECAST","AGRWTH","Q","1984-Q3",0.149086038647773,
"AUT","DDEMANDFORECAST","DEC2020FORECAST","AGRWTH","Q","1984-Q4",1.67879922972661,
"AUT","DDEMANDFORECAST","DEC2020FORECAST","AGRWTH","Q","1985-Q1",4.45952298786701,
"AUT","DDEMANDFORECAST","DEC2020FORECAST","AGRWTH","Q","1985-Q2",4.17720693225604,
"AUT","DDEMANDFORECAST","DEC2020FORECAST","AGRWTH","Q","1985-Q3",4.00633719768244,
"AUT","DDEMANDFORECAST","DEC2020FORECAST","AGRWTH","Q","1985-Q4",2.88560376344036,
"AUT","DDEMANDFORECAST","DEC2020FORECAST","AGRWTH","Q","1986-Q1",0.874716113703144,
"AUT","DDEMANDFORECAST","DEC2020FORECAST","AGRWTH","Q","1986-Q2",0.276019403912135,
"AUT","DDEMANDFORECAST","DEC2020FORECAST","AGRWTH","Q","1986-Q3",0.0248075608561519,
"AUT","DDEMANDFORECAST","DEC2020FORECAST","AGRWTH","Q","1986-Q4",0.763437141011674,
"AUT","DDEMANDFORECAST","DEC2020FORECAST","AGRWTH","Q","1987-Q1",1.94008348392477,
"AUT","DDEMANDFORECAST","DEC2020FORECAST","AGRWTH","Q","1987-Q2",3.64280573915355,
"AUT","DDEMANDFORECAST","DEC2020FORECAST","AGRWTH","Q","1987-Q3",4.59666814052163,
"AUT","DDEMANDFORECAST","DEC2020FORECAST","AGRWTH","Q","1987-Q4",4.77148873073561,
"AUT","DDEMANDFORECAST","DEC2020FORECAST","AGRWTH","Q","1988-Q1",4.76085272402417,
"AUT","DDEMANDFORECAST","DEC2020FORECAST","AGRWTH","Q","1988-Q2",3.70136323495717,
"AUT","DDEMANDFORECAST","DEC2020FORECAST","AGRWTH","Q","1988-Q3",3.34504113150784,
"AUT","DDEMANDFORECAST","DEC2020FORECAST","AGRWTH","Q","1988-Q4",3.47680886986253,
"AUT","DDEMANDFORECAST","DEC2020FORECAST","AGRWTH","Q","1989-Q1",3.85819278061404,
"AUT","DDEMANDFORECAST","DEC2020FORECAST","AGRWTH","Q","1989-Q2",4.63619419558268,
"AUT","DDEMANDFORECAST","DEC2020FORECAST","AGRWTH","Q","1989-Q3",4.97656677889256,
