"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","EMP","TOT","PC_WKGPOP","Q","1999-Q1",68.6656,
"AUT","EMP","TOT","PC_WKGPOP","Q","1999-Q2",68.58568,
"AUT","EMP","TOT","PC_WKGPOP","Q","1999-Q3",68.56554,
"AUT","EMP","TOT","PC_WKGPOP","Q","1999-Q4",68.35089,
"AUT","EMP","TOT","PC_WKGPOP","Q","2000-Q1",68.46355,
"AUT","EMP","TOT","PC_WKGPOP","Q","2000-Q2",68.51994,
"AUT","EMP","TOT","PC_WKGPOP","Q","2000-Q3",68.42101,
"AUT","EMP","TOT","PC_WKGPOP","Q","2000-Q4",68.4961,
"AUT","EMP","TOT","PC_WKGPOP","Q","2001-Q1",68.31284,
"AUT","EMP","TOT","PC_WKGPOP","Q","2001-Q2",68.44992,
"AUT","EMP","TOT","PC_WKGPOP","Q","2001-Q3",68.33821,
"AUT","EMP","TOT","PC_WKGPOP","Q","2001-Q4",68.45759,
"AUT","EMP","TOT","PC_WKGPOP","Q","2002-Q1",68.70898,
"AUT","EMP","TOT","PC_WKGPOP","Q","2002-Q2",68.72655,
"AUT","EMP","TOT","PC_WKGPOP","Q","2002-Q3",68.64375,
"AUT","EMP","TOT","PC_WKGPOP","Q","2002-Q4",68.86227,
"AUT","EMP","TOT","PC_WKGPOP","Q","2003-Q1",69.0119,
"AUT","EMP","TOT","PC_WKGPOP","Q","2003-Q2",69.04374,
"AUT","EMP","TOT","PC_WKGPOP","Q","2003-Q3",68.86893,
"AUT","EMP","TOT","PC_WKGPOP","Q","2003-Q4",68.81342,
"AUT","EMP","TOT","PC_WKGPOP","Q","2004-Q1",66.34579,
"AUT","EMP","TOT","PC_WKGPOP","Q","2004-Q2",66.40423,
"AUT","EMP","TOT","PC_WKGPOP","Q","2004-Q3",66.54659,
"AUT","EMP","TOT","PC_WKGPOP","Q","2004-Q4",66.71136,
"AUT","EMP","TOT","PC_WKGPOP","Q","2005-Q1",67.06626,
"AUT","EMP","TOT","PC_WKGPOP","Q","2005-Q2",67.2053,
"AUT","EMP","TOT","PC_WKGPOP","Q","2005-Q3",67.59825,
"AUT","EMP","TOT","PC_WKGPOP","Q","2005-Q4",67.69161,
"AUT","EMP","TOT","PC_WKGPOP","Q","2006-Q1",67.91628,
"AUT","EMP","TOT","PC_WKGPOP","Q","2006-Q2",68.42107,
"AUT","EMP","TOT","PC_WKGPOP","Q","2006-Q3",68.88259,
"AUT","EMP","TOT","PC_WKGPOP","Q","2006-Q4",69.00742,
"AUT","EMP","TOT","PC_WKGPOP","Q","2007-Q1",69.51543,
"AUT","EMP","TOT","PC_WKGPOP","Q","2007-Q2",69.64874,
"AUT","EMP","TOT","PC_WKGPOP","Q","2007-Q3",70.18504,
"AUT","EMP","TOT","PC_WKGPOP","Q","2007-Q4",70.16466,
"AUT","EMP","TOT","PC_WKGPOP","Q","2008-Q1",70.80128,
"AUT","EMP","TOT","PC_WKGPOP","Q","2008-Q2",70.9827,
"AUT","EMP","TOT","PC_WKGPOP","Q","2008-Q3",70.60652,
"AUT","EMP","TOT","PC_WKGPOP","Q","2008-Q4",70.79346,
"AUT","EMP","TOT","PC_WKGPOP","Q","2009-Q1",70.52033,
"AUT","EMP","TOT","PC_WKGPOP","Q","2009-Q2",70.25507,
"AUT","EMP","TOT","PC_WKGPOP","Q","2009-Q3",70.17509,
"AUT","EMP","TOT","PC_WKGPOP","Q","2009-Q4",70.37382,
"AUT","EMP","TOT","PC_WKGPOP","Q","2010-Q1",70.53884,
"AUT","EMP","TOT","PC_WKGPOP","Q","2010-Q2",70.53448,
"AUT","EMP","TOT","PC_WKGPOP","Q","2010-Q3",70.83437,
"AUT","EMP","TOT","PC_WKGPOP","Q","2010-Q4",71.20583,
"AUT","EMP","TOT","PC_WKGPOP","Q","2011-Q1",70.97121,
"AUT","EMP","TOT","PC_WKGPOP","Q","2011-Q2",71.09076,
"AUT","EMP","TOT","PC_WKGPOP","Q","2011-Q3",71.30914,
"AUT","EMP","TOT","PC_WKGPOP","Q","2011-Q4",71.02938,
"AUT","EMP","TOT","PC_WKGPOP","Q","2012-Q1",71.38705,
"AUT","EMP","TOT","PC_WKGPOP","Q","2012-Q2",71.44109,
"AUT","EMP","TOT","PC_WKGPOP","Q","2012-Q3",71.32702,
"AUT","EMP","TOT","PC_WKGPOP","Q","2012-Q4",71.45187,
"AUT","EMP","TOT","PC_WKGPOP","Q","2013-Q1",71.35987,
"AUT","EMP","TOT","PC_WKGPOP","Q","2013-Q2",71.62829,
"AUT","EMP","TOT","PC_WKGPOP","Q","2013-Q3",71.45325,
"AUT","EMP","TOT","PC_WKGPOP","Q","2013-Q4",71.21294,
"AUT","EMP","TOT","PC_WKGPOP","Q","2014-Q1",71.1239,
"AUT","EMP","TOT","PC_WKGPOP","Q","2014-Q2",71.25309,
"AUT","EMP","TOT","PC_WKGPOP","Q","2014-Q3",70.91779,
"AUT","EMP","TOT","PC_WKGPOP","Q","2014-Q4",71.02004,
"AUT","EMP","TOT","PC_WKGPOP","Q","2015-Q1",71.17912,
"AUT","EMP","TOT","PC_WKGPOP","Q","2015-Q2",70.89141,
"AUT","EMP","TOT","PC_WKGPOP","Q","2015-Q3",71.16522,
"AUT","EMP","TOT","PC_WKGPOP","Q","2015-Q4",71.18748,
"AUT","EMP","TOT","PC_WKGPOP","Q","2016-Q1",71.39318,
"AUT","EMP","TOT","PC_WKGPOP","Q","2016-Q2",71.41406,
"AUT","EMP","TOT","PC_WKGPOP","Q","2016-Q3",71.7124,
"AUT","EMP","TOT","PC_WKGPOP","Q","2016-Q4",71.65956,
"AUT","EMP","TOT","PC_WKGPOP","Q","2017-Q1",71.79244,
"AUT","EMP","TOT","PC_WKGPOP","Q","2017-Q2",72.24226,
"AUT","EMP","TOT","PC_WKGPOP","Q","2017-Q3",72.08636,
"AUT","EMP","TOT","PC_WKGPOP","Q","2017-Q4",72.53468,
"AUT","EMP","TOT","PC_WKGPOP","Q","2018-Q1",72.72565,
"AUT","EMP","TOT","PC_WKGPOP","Q","2018-Q2",73.1459,
"AUT","EMP","TOT","PC_WKGPOP","Q","2018-Q3",73.05626,
"AUT","EMP","TOT","PC_WKGPOP","Q","2018-Q4",73.11347,
"AUT","EMP","TOT","PC_WKGPOP","Q","2019-Q1",73.45397,
"AUT","EMP","TOT","PC_WKGPOP","Q","2019-Q2",73.65823,
"AUT","EMP","TOT","PC_WKGPOP","Q","2019-Q3",73.46721,
"AUT","EMP","TOT","PC_WKGPOP","Q","2019-Q4",73.63594,
"AUT","EMP","TOT","PC_WKGPOP","Q","2020-Q1",73.11522,
"AUT","EMP","TOT","PC_WKGPOP","Q","2020-Q2",71.38448,
"AUT","EMP","TOT","PC_WKGPOP","Q","2020-Q3",72.60997,
"AUT","EMP","TOT","PC_WKGPOP","Q","2020-Q4",72.46516,
