"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","1990",8.2,
"AUS","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","1991",7.1,
"AUS","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","1992",7,
"AUS","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","1993",6.1,
"AUS","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","1994",5.9,
"AUS","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","1995",5.7,
"AUS","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","1996",5.8,
"AUS","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","1997",5.3,
"AUS","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","1998",5,
"AUS","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","1999",5.7,
"AUS","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2000",5.2,
"AUS","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2001",5.3,
"AUS","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2002",5,
"AUS","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2003",4.8,
"AUS","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2004",4.7,
"AUS","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2005",4.9,
"AUS","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2006",4.7,
"AUS","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2007",4.1,
"AUS","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2008",4.1,
"AUS","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2009",4.2,
"AUS","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2010",4.1,
"AUS","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2011",3.8,
"AUS","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2012",3.3,
"AUS","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2013",3.6,
"AUS","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2014",3.4,
"AUS","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2015",3.2,
"AUS","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2016",3.1,
"AUS","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2017",3.3,
"AUS","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2018",3.1,
"AUT","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","1990",7.8,
"AUT","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","1991",7.5,
"AUT","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","1992",7.5,
"AUT","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","1993",6.5,
"AUT","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","1994",6.3,
"AUT","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","1995",5.4,
"AUT","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","1996",5.1,
"AUT","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","1997",4.7,
"AUT","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","1998",4.9,
"AUT","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","1999",4.4,
"AUT","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2000",4.8,
"AUT","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2001",4.8,
"AUT","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2002",4.1,
"AUT","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2003",4.5,
"AUT","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2004",4.5,
"AUT","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2005",4.2,
"AUT","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2006",3.6,
"AUT","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2007",3.7,
"AUT","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2008",3.7,
"AUT","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2009",3.8,
"AUT","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2010",3.9,
"AUT","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2011",3.6,
"AUT","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2012",3.2,
"AUT","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2013",3.1,
"AUT","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2014",3,
"AUT","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2015",3.1,
"AUT","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2016",3.1,
"AUT","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2017",2.9,
"AUT","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2018",2.7,
"BEL","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","1990",8,
"BEL","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","1991",8.3,
"BEL","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","1992",8.2,
"BEL","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","1993",8,
"BEL","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","1994",7.6,
"BEL","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","1995",6,
"BEL","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","1996",5,
"BEL","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","1997",5.4,
"BEL","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","1998",5.2,
"BEL","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","1999",4.9,
"BEL","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2000",4.8,
"BEL","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2001",4.5,
"BEL","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2002",4.4,
"BEL","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2003",4.1,
"BEL","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2004",3.9,
"BEL","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2005",3.7,
"BEL","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2006",4,
"BEL","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2007",3.9,
"BEL","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2008",3.8,
"BEL","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2009",3.5,
"BEL","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2010",3.6,
"BEL","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2011",3.4,
"BEL","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2012",3.8,
"BEL","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2013",3.5,
"BEL","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2014",3.4,
"BEL","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2015",3.3,
"BEL","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2016",3.2,
"BEL","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2017",3.6,
"BEL","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2018",3.8,
"CAN","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","1990",6.8,
"CAN","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","1991",6.4,
"CAN","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","1992",6.3,
"CAN","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","1993",6.8,
"CAN","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","1994",6.3,
"CAN","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","1995",6.1,
"CAN","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","1996",5.6,
"CAN","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","1997",5.5,
"CAN","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","1998",5.3,
"CAN","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","1999",5.3,
"CAN","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2000",5.3,
"CAN","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2001",5.2,
"CAN","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2002",5.4,
"CAN","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2003",5.3,
"CAN","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2004",5.3,
"CAN","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2005",5.4,
"CAN","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2006",5,
"CAN","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2007",5.1,
