"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","LIFEEXP65","WOMEN","YR","A","1990",18.1,
"AUT","LIFEEXP65","WOMEN","YR","A","1991",18.1,
"AUT","LIFEEXP65","WOMEN","YR","A","1992",18.2,
"AUT","LIFEEXP65","WOMEN","YR","A","1993",18.4,
"AUT","LIFEEXP65","WOMEN","YR","A","1994",18.7,
"AUT","LIFEEXP65","WOMEN","YR","A","1995",18.8,
"AUT","LIFEEXP65","WOMEN","YR","A","1996",18.9,
"AUT","LIFEEXP65","WOMEN","YR","A","1997",19.1,
"AUT","LIFEEXP65","WOMEN","YR","A","1998",19.4,
"AUT","LIFEEXP65","WOMEN","YR","A","1999",19.4,
"AUT","LIFEEXP65","WOMEN","YR","A","2000",19.6,
"AUT","LIFEEXP65","WOMEN","YR","A","2001",20,
"AUT","LIFEEXP65","WOMEN","YR","A","2002",19.8,
"AUT","LIFEEXP65","WOMEN","YR","A","2003",19.7,
"AUT","LIFEEXP65","WOMEN","YR","A","2004",20.2,
"AUT","LIFEEXP65","WOMEN","YR","A","2005",20.3,
"AUT","LIFEEXP65","WOMEN","YR","A","2006",20.7,
"AUT","LIFEEXP65","WOMEN","YR","A","2007",21,
"AUT","LIFEEXP65","WOMEN","YR","A","2008",21.1,
"AUT","LIFEEXP65","WOMEN","YR","A","2009",21.2,
"AUT","LIFEEXP65","WOMEN","YR","A","2010",21.4,
"AUT","LIFEEXP65","WOMEN","YR","A","2011",21.7,
"AUT","LIFEEXP65","WOMEN","YR","A","2012",21.3,
"AUT","LIFEEXP65","WOMEN","YR","A","2013",21.5,
"AUT","LIFEEXP65","WOMEN","YR","A","2014",21.8,
"AUT","LIFEEXP65","WOMEN","YR","A","2015",21.3,
"AUT","LIFEEXP65","WOMEN","YR","A","2016",21.7,
"AUT","LIFEEXP65","WOMEN","YR","A","2017",21.5,
"AUT","LIFEEXP65","WOMEN","YR","A","2018",21.6,
