"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","NOMGDPFORECAST","DEC2020FORECAST","AGRWTH","Q","1970-Q2",2.43592803311353,
"AUT","NOMGDPFORECAST","DEC2020FORECAST","AGRWTH","Q","1970-Q3",5.32426142936672,
"AUT","NOMGDPFORECAST","DEC2020FORECAST","AGRWTH","Q","1970-Q4",8.72810865004551,
"AUT","NOMGDPFORECAST","DEC2020FORECAST","AGRWTH","Q","1971-Q1",13.5352659999111,
"AUT","NOMGDPFORECAST","DEC2020FORECAST","AGRWTH","Q","1971-Q2",14.8841721528518,
"AUT","NOMGDPFORECAST","DEC2020FORECAST","AGRWTH","Q","1971-Q3",16.1700263994418,
"AUT","NOMGDPFORECAST","DEC2020FORECAST","AGRWTH","Q","1971-Q4",15.8595063241423,
"AUT","NOMGDPFORECAST","DEC2020FORECAST","AGRWTH","Q","1972-Q1",15.1268885015077,
"AUT","NOMGDPFORECAST","DEC2020FORECAST","AGRWTH","Q","1972-Q2",12.8015030674305,
"AUT","NOMGDPFORECAST","DEC2020FORECAST","AGRWTH","Q","1972-Q3",11.8048742712515,
"AUT","NOMGDPFORECAST","DEC2020FORECAST","AGRWTH","Q","1972-Q4",11.9153574746422,
"AUT","NOMGDPFORECAST","DEC2020FORECAST","AGRWTH","Q","1973-Q1",12.2291349116566,
"AUT","NOMGDPFORECAST","DEC2020FORECAST","AGRWTH","Q","1973-Q2",14.7054555028554,
"AUT","NOMGDPFORECAST","DEC2020FORECAST","AGRWTH","Q","1973-Q3",15.895765454702,
"AUT","NOMGDPFORECAST","DEC2020FORECAST","AGRWTH","Q","1973-Q4",15.9201600417266,
"AUT","NOMGDPFORECAST","DEC2020FORECAST","AGRWTH","Q","1974-Q1",16.9310464276834,
"AUT","NOMGDPFORECAST","DEC2020FORECAST","AGRWTH","Q","1974-Q2",11.9697715776832,
"AUT","NOMGDPFORECAST","DEC2020FORECAST","AGRWTH","Q","1974-Q3",9.11281880210795,
"AUT","NOMGDPFORECAST","DEC2020FORECAST","AGRWTH","Q","1974-Q4",6.65798894194999,
"AUT","NOMGDPFORECAST","DEC2020FORECAST","AGRWTH","Q","1975-Q1",2.69249612939919,
"AUT","NOMGDPFORECAST","DEC2020FORECAST","AGRWTH","Q","1975-Q2",5.18587508926197,
"AUT","NOMGDPFORECAST","DEC2020FORECAST","AGRWTH","Q","1975-Q3",6.41947326731556,
"AUT","NOMGDPFORECAST","DEC2020FORECAST","AGRWTH","Q","1975-Q4",8.54281037164102,
"AUT","NOMGDPFORECAST","DEC2020FORECAST","AGRWTH","Q","1976-Q1",11.7271866386981,
"AUT","NOMGDPFORECAST","DEC2020FORECAST","AGRWTH","Q","1976-Q2",12.5706505936607,
"AUT","NOMGDPFORECAST","DEC2020FORECAST","AGRWTH","Q","1976-Q3",13.1853579291714,
"AUT","NOMGDPFORECAST","DEC2020FORECAST","AGRWTH","Q","1976-Q4",12.526149492932,
"AUT","NOMGDPFORECAST","DEC2020FORECAST","AGRWTH","Q","1977-Q1",12.1063421598179,
