"Bundesland";"Datum";"R_eff";"R_eff_lwr";"R_eff_upr"
"Burgenland";2020-03-12;NA;NA;NA
"Burgenland";2020-03-13;NA;NA;NA
"Burgenland";2020-03-14;NA;NA;NA
"Burgenland";2020-03-15;NA;NA;NA
"Burgenland";2020-03-16;NA;NA;NA
"Burgenland";2020-03-17;NA;NA;NA
"Burgenland";2020-03-18;NA;NA;NA
"Burgenland";2020-03-19;2,38468736203634;1,55775695793303;3,38487400830442
"Burgenland";2020-03-20;2,24611155980672;1,51544203733684;3,11826450744401
"Burgenland";2020-03-21;2,9209710626224;2,15369347668283;3,80334994924746
"Burgenland";2020-03-22;2,84651718081095;2,172192487172;3,61060310810399
"Burgenland";2020-03-23;2,99540141375108;2,38582050585929;3,67328677888774
"Burgenland";2020-03-24;2,24631621107845;1,78917832328982;2,75467708650863
"Burgenland";2020-03-25;1,77599103034515;1,41659999995034;2,17539846942021
"Burgenland";2020-03-26;1,96861553968995;1,62095194554865;2,34955376209993
"Burgenland";2020-03-27;2,02625324716278;1,70003337691393;2,3806812708807
"Burgenland";2020-03-28;1,8720824056395;1,58356000642125;2,18439394139568
"Burgenland";2020-03-29;1,7796492454523;1,51996664757373;2,05950996008667
"Burgenland";2020-03-30;1,59331124607449;1,36535860070839;1,83860279444941
"Burgenland";2020-03-31;1,36591078306297;1,16829660371554;1,57873882236657
"Burgenland";2020-04-01;1,26440768248538;1,0835107756482;1,45906426259684
"Burgenland";2020-04-02;1,19507861931354;1,02549934901345;1,37744276530265
"Burgenland";2020-04-03;1,06186422131388;0,906471926041725;1,2293687004567
"Burgenland";2020-04-04;1,02686594252003;0,876595265212955;1,18884959485413
"Burgenland";2020-04-05;0,893988331715569;0,755314028907173;1,04417730820781
"Burgenland";2020-04-06;0,908324317528558;0,768334800735841;1,05985619546164
"Burgenland";2020-04-07;0,928694594048241;0,786023337877217;1,08308842599281
"Burgenland";2020-04-08;0,81393811612843;0,679548911901408;0,960272948335351
"Burgenland";2020-04-09;0,701125429535862;0,575146779404009;0,83939351389525
"Burgenland";2020-04-10;0,687981396015533;0,560372146250203;0,82848486520997
"Burgenland";2020-04-11;0,632532225175161;0,506632382439741;0,772193162125173
"Burgenland";2020-04-12;0,669204706326369;0,534536950874681;0,818773656945893
"Burgenland";2020-04-13;0,720836001897631;0,574967025623963;0,882946765179515
"Burgenland";2020-04-14;0,717555833069776;0,566283842138333;0,886464123903159
"Burgenland";2020-04-15;0,71467994490175;0,558170966340617;0,89023743788097
"Burgenland";2020-04-16;0,780737010877137;0,610878627264309;0,971115817612256
"Burgenland";2020-04-17;0,788961835698062;0,612659736482388;0,987219030062745
"Burgenland";2020-04-18;0,837894814532318;0,650658109231772;1,04844831355539
"Burgenland";2020-04-19;0,869302529543948;0,673697520139678;1,08945900594745
"Burgenland";2020-04-20;0,947651908953204;0,738741153585453;1,18218108263913
"Burgenland";2020-04-21;0,878786725461901;0,675283848754639;1,10868293860577
"Burgenland";2020-04-22;0,902175509526233;0,693256432617181;1,13819037777792
"Burgenland";2020-04-23;0,852607698385548;0,647420771406577;1,08560643980683
"Burgenland";2020-04-24;0,818017081146056;0,614519607688954;1,05017191829163
"Burgenland";2020-04-25;0,754805487528217;0,556533981269389;0,982820216679861
"Burgenland";2020-04-26;0,742725173146195;0,541748837843832;0,974916680631816
"Burgenland";2020-04-27;0,769754020787723;0,559304449895324;1,0132887595785
"Burgenland";2020-04-28;0,799905213489584;0,578895369266695;1,05609436795573
"Burgenland";2020-04-29;0,729791847038044;0,513840809591408;0,983033059604082
"Burgenland";2020-04-30;0,65010585519098;0,441715387545296;0,898128901698078
"Burgenland";2020-05-01;0,632007099228704;0,41996412761813;0,886696535302805
"Burgenland";2020-05-02;0,63995085545339;0,418037145534436;0,90835933116475
"Burgenland";2020-05-03;0,540913637202595;0,330404102144879;0,802468466215599
"Burgenland";2020-05-04;0,511571520613126;0,298009262757712;0,781891858298321
"Burgenland";2020-05-05;0,509983057975435;0,285433646192093;0,798620587359871
"Burgenland";2020-05-06;0,54393349982333;0,297373505899424;0,863704075301602
"Burgenland";2020-05-07;NA;NA;NA
"Burgenland";2020-05-08;NA;NA;NA
"Burgenland";2020-05-09;NA;NA;NA
"Burgenland";2020-05-10;NA;NA;NA
"Burgenland";2020-05-11;NA;NA;NA
"Burgenland";2020-05-12;NA;NA;NA
"Burgenland";2020-05-13;NA;NA;NA
"Burgenland";2020-05-14;NA;NA;NA
"Burgenland";2020-05-15;NA;NA;NA
"Burgenland";2020-05-16;NA;NA;NA
"Burgenland";2020-05-17;NA;NA;NA
"Burgenland";2020-05-18;NA;NA;NA
"Burgenland";2020-05-19;NA;NA;NA
"Burgenland";2020-05-20;NA;NA;NA
"Burgenland";2020-05-21;NA;NA;NA
"Burgenland";2020-05-22;NA;NA;NA
"Burgenland";2020-05-23;NA;NA;NA
"Burgenland";2020-05-24;NA;NA;NA
"Burgenland";2020-05-25;NA;NA;NA
"Burgenland";2020-05-26;NA;NA;NA
"Burgenland";2020-05-27;NA;NA;NA
"Burgenland";2020-05-28;NA;NA;NA
"Burgenland";2020-05-29;NA;NA;NA
"Burgenland";2020-05-30;NA;NA;NA
"Burgenland";2020-05-31;NA;NA;NA
"Burgenland";2020-06-01;NA;NA;NA
"Burgenland";2020-06-02;NA;NA;NA
"Burgenland";2020-06-03;NA;NA;NA
"Burgenland";2020-06-04;NA;NA;NA
"Burgenland";2020-06-05;NA;NA;NA
"Burgenland";2020-06-06;NA;NA;NA
"Burgenland";2020-06-07;NA;NA;NA
"Burgenland";2020-06-08;NA;NA;NA
"Burgenland";2020-06-09;NA;NA;NA
"Burgenland";2020-06-10;NA;NA;NA
"Burgenland";2020-06-11;NA;NA;NA
"Burgenland";2020-06-12;NA;NA;NA
"Burgenland";2020-06-13;NA;NA;NA
"Burgenland";2020-06-14;NA;NA;NA
"Burgenland";2020-06-15;NA;NA;NA
"Burgenland";2020-06-16;NA;NA;NA
"Burgenland";2020-06-17;NA;NA;NA
"Burgenland";2020-06-18;NA;NA;NA
"Burgenland";2020-06-19;NA;NA;NA
"Burgenland";2020-06-20;NA;NA;NA
"Burgenland";2020-06-21;NA;NA;NA
"Burgenland";2020-06-22;NA;NA;NA
"Burgenland";2020-06-23;NA;NA;NA
"Burgenland";2020-06-24;NA;NA;NA
"Burgenland";2020-06-25;NA;NA;NA
"Burgenland";2020-06-26;NA;NA;NA
"Burgenland";2020-06-27;NA;NA;NA
"Burgenland";2020-06-28;NA;NA;NA
"Burgenland";2020-06-29;NA;NA;NA
"Burgenland";2020-06-30;NA;NA;NA
"Burgenland";2020-07-01;NA;NA;NA
"Burgenland";2020-07-02;NA;NA;NA
"Burgenland";2020-07-03;1,86427731139791;1,08601023465841;2,84938311195525
"Burgenland";2020-07-04;1,67302002370435;0,974595816525266;2,55706325038714
"Burgenland";2020-07-05;1,48500172036926;0,865068226141244;2,26969389016049
"Burgenland";2020-07-06;1,33946075655587;0,780285251367569;2,04724738938932
"Burgenland";2020-07-07;1,16507130048649;0,665938914294406;1,80150743593266
"Burgenland";2020-07-08;1,24603713965938;0,73848057867026;1,88419137910506
"Burgenland";2020-07-09;1,39775578964983;0,865232864026998;2,05592424030264
"Burgenland";2020-07-10;1,26517798539768;0,772803581881634;1,87694553733641
"Burgenland";2020-07-11;1,14009848159572;0,686413762215884;1,70701306767409
"Burgenland";2020-07-12;1,09666327844164;0,660262932536786;1,64197968627942
"Burgenland";2020-07-13;1,18372662081566;0,732745435173566;1,74111405701001
"Burgenland";2020-07-14;1,32281807578066;0,847554501334539;1,90217341916023
"Burgenland";2020-07-15;1,11474980661834;0,690047700031751;1,63965777589337
"Burgenland";2020-07-16;0,923515327561149;0,547333712456312;1,39649097388685
"Burgenland";2020-07-17;1,0686440987782;0,661507540199886;1,57184203650115
"Burgenland";2020-07-18;1,12045193840128;0,702181264521659;1,6348784534575
"Burgenland";2020-07-19;1,26549967001609;0,818964661588932;1,80764466884548
"Burgenland";2020-07-20;1,43194332446843;0,958994917885251;1,99819276747978
"Burgenland";2020-07-21;1,26469605790797;0,833442671234396;1,7844404251813
"Burgenland";2020-07-22;1,10522195319721;0,715241374080565;1,57870335245723
"Burgenland";2020-07-23;1,10436096992789;0,72140525100356;1,56755254479258
"Burgenland";2020-07-24;1,11883999189942;0,737322604669951;1,57864278802088
"Burgenland";2020-07-25;1,21948170576769;0,822779185929044;1,69299984409496
"Burgenland";2020-07-26;1,26671076643814;0,866429226532725;1,74180748281409
"Burgenland";2020-07-27;1,06657114181483;0,708728777986163;1,49638340653977
"Burgenland";2020-07-28;1,14623973235358;0,778814286248259;1,58354370089313
"Burgenland";2020-07-29;1,26385833465741;0,880323637949257;1,71565490463902
"Burgenland";2020-07-30;1,3620073539804;0,968520373260823;1,82152659581315
"Burgenland";2020-07-31;1,29408948665328;0,920224130202734;1,73069433906673
"Burgenland";2020-08-01;1,09652442912739;0,763769441621251;1,48850346854646
"Burgenland";2020-08-02;0,961936730662352;0,657964011677878;1,32272389234739
"Burgenland";2020-08-03;1,00711832392014;0,697458716379809;1,37276949381381
"Burgenland";2020-08-04;1,00672293752547;0,697184899807565;1,37223055576851
"Burgenland";2020-08-05;0,980585039817882;0,674989621802594;1,34234520881968
"Burgenland";2020-08-06;0,92707132466516;0,629899986574193;1,28075996234906
"Burgenland";2020-08-07;0,878659385641788;0,58845198059459;1,22611754213066
"Burgenland";2020-08-08;0,836938134633974;0,551547504418672;1,18088945678154
"Burgenland";2020-08-09;0,865409112319113;0,570310058113833;1,22106097720981
"Burgenland";2020-08-10;0,832451767570344;0,53871889204735;1,18907735448117
"Burgenland";2020-08-11;0,763711977583835;0,478614230357192;1,11435057052136
"Burgenland";2020-08-12;0,65733167911117;0,389576412546586;0,993982156368543
"Burgenland";2020-08-13;0,742951090379675;0,447305089272754;1,11238392155892
"Burgenland";2020-08-14;0,801575989575116;0,48260110822714;1,20016008355997
"Burgenland";2020-08-15;0,85988639455647;0,517707781120488;1,28746536892902
