"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","GFCFFORECAST","DEC2020FORECAST","AGRWTH","Q","1970-Q2",4.04100761464672,
"AUT","GFCFFORECAST","DEC2020FORECAST","AGRWTH","Q","1970-Q3",8.00251446062381,
"AUT","GFCFFORECAST","DEC2020FORECAST","AGRWTH","Q","1970-Q4",11.6136356127133,
"AUT","GFCFFORECAST","DEC2020FORECAST","AGRWTH","Q","1971-Q1",16.8193271800288,
"AUT","GFCFFORECAST","DEC2020FORECAST","AGRWTH","Q","1971-Q2",16.3669621579778,
"AUT","GFCFFORECAST","DEC2020FORECAST","AGRWTH","Q","1971-Q3",16.8389560769587,
"AUT","GFCFFORECAST","DEC2020FORECAST","AGRWTH","Q","1971-Q4",15.6528261131566,
"AUT","GFCFFORECAST","DEC2020FORECAST","AGRWTH","Q","1972-Q1",15.72608770572,
"AUT","GFCFFORECAST","DEC2020FORECAST","AGRWTH","Q","1972-Q2",8.9345357829302,
"AUT","GFCFFORECAST","DEC2020FORECAST","AGRWTH","Q","1972-Q3",4.77037394089089,
"AUT","GFCFFORECAST","DEC2020FORECAST","AGRWTH","Q","1972-Q4",1.24235348537409,
"AUT","GFCFFORECAST","DEC2020FORECAST","AGRWTH","Q","1973-Q1",-4.32233958735121,
"AUT","GFCFFORECAST","DEC2020FORECAST","AGRWTH","Q","1973-Q2",-0.950219059108607,
"AUT","GFCFFORECAST","DEC2020FORECAST","AGRWTH","Q","1973-Q3",0.728099877726178,
"AUT","GFCFFORECAST","DEC2020FORECAST","AGRWTH","Q","1973-Q4",3.28393803795489,
"AUT","GFCFFORECAST","DEC2020FORECAST","AGRWTH","Q","1974-Q1",8.88928637142805,
"AUT","GFCFFORECAST","DEC2020FORECAST","AGRWTH","Q","1974-Q2",5.05024566548092,
"AUT","GFCFFORECAST","DEC2020FORECAST","AGRWTH","Q","1974-Q3",2.4951059283427,
"AUT","GFCFFORECAST","DEC2020FORECAST","AGRWTH","Q","1974-Q4",-1.70399827631814,
"AUT","GFCFFORECAST","DEC2020FORECAST","AGRWTH","Q","1975-Q1",-9.48631678538345,
"AUT","GFCFFORECAST","DEC2020FORECAST","AGRWTH","Q","1975-Q2",-8.49163000688736,
"AUT","GFCFFORECAST","DEC2020FORECAST","AGRWTH","Q","1975-Q3",-7.82481287873092,
"AUT","GFCFFORECAST","DEC2020FORECAST","AGRWTH","Q","1975-Q4",-3.39049580735805,
"AUT","GFCFFORECAST","DEC2020FORECAST","AGRWTH","Q","1976-Q1",4.34291388553724,
"AUT","GFCFFORECAST","DEC2020FORECAST","AGRWTH","Q","1976-Q2",11.6572295725782,
"AUT","GFCFFORECAST","DEC2020FORECAST","AGRWTH","Q","1976-Q3",16.205881248378,
"AUT","GFCFFORECAST","DEC2020FORECAST","AGRWTH","Q","1976-Q4",15.5877878795757,
"AUT","GFCFFORECAST","DEC2020FORECAST","AGRWTH","Q","1977-Q1",15.8554079050268,
"AUT","GFCFFORECAST","DEC2020FORECAST","AGRWTH","Q","1977-Q2",3.19655939939963,
"AUT","GFCFFORECAST","DEC2020FORECAST","AGRWTH","Q","1977-Q3",-3.40821986574435,
"AUT","GFCFFORECAST","DEC2020FORECAST","AGRWTH","Q","1977-Q4",-7.61769530335425,
"AUT","GFCFFORECAST","DEC2020FORECAST","AGRWTH","Q","1978-Q1",-14.5363584839385,
"AUT","GFCFFORECAST","DEC2020FORECAST","AGRWTH","Q","1978-Q2",-6.00545851456583,
"AUT","GFCFFORECAST","DEC2020FORECAST","AGRWTH","Q","1978-Q3",-1.05998481786648,
"AUT","GFCFFORECAST","DEC2020FORECAST","AGRWTH","Q","1978-Q4",4.17038322086904,
"AUT","GFCFFORECAST","DEC2020FORECAST","AGRWTH","Q","1979-Q1",12.2581440558804,
"AUT","GFCFFORECAST","DEC2020FORECAST","AGRWTH","Q","1979-Q2",8.0655875849394,
"AUT","GFCFFORECAST","DEC2020FORECAST","AGRWTH","Q","1979-Q3",6.54853768408696,
"AUT","GFCFFORECAST","DEC2020FORECAST","AGRWTH","Q","1979-Q4",4.35203991205098,
"AUT","GFCFFORECAST","DEC2020FORECAST","AGRWTH","Q","1980-Q1",1.65474243126294,
"AUT","GFCFFORECAST","DEC2020FORECAST","AGRWTH","Q","1980-Q2",2.1333647871399,
"AUT","GFCFFORECAST","DEC2020FORECAST","AGRWTH","Q","1980-Q3",2.21166626045614,
"AUT","GFCFFORECAST","DEC2020FORECAST","AGRWTH","Q","1980-Q4",2.03819028719645,
"AUT","GFCFFORECAST","DEC2020FORECAST","AGRWTH","Q","1981-Q1",2.80561845842183,
"AUT","GFCFFORECAST","DEC2020FORECAST","AGRWTH","Q","1981-Q2",-1.8521649792106,
"AUT","GFCFFORECAST","DEC2020FORECAST","AGRWTH","Q","1981-Q3",-5.16508060650634,
"AUT","GFCFFORECAST","DEC2020FORECAST","AGRWTH","Q","1981-Q4",-8.09491630962635,
"AUT","GFCFFORECAST","DEC2020FORECAST","AGRWTH","Q","1982-Q1",-13.3729121803053,
"AUT","GFCFFORECAST","DEC2020FORECAST","AGRWTH","Q","1982-Q2",-8.99602739920691,
"AUT","GFCFFORECAST","DEC2020FORECAST","AGRWTH","Q","1982-Q3",-6.30814810316922,
"AUT","GFCFFORECAST","DEC2020FORECAST","AGRWTH","Q","1982-Q4",-2.57487205911719,
"AUT","GFCFFORECAST","DEC2020FORECAST","AGRWTH","Q","1983-Q1",3.63609517249798,
"AUT","GFCFFORECAST","DEC2020FORECAST","AGRWTH","Q","1983-Q2",2.08385666077293,
"AUT","GFCFFORECAST","DEC2020FORECAST","AGRWTH","Q","1983-Q3",1.57233499048006,
"AUT","GFCFFORECAST","DEC2020FORECAST","AGRWTH","Q","1983-Q4",0.0428490016077321,
"AUT","GFCFFORECAST","DEC2020FORECAST","AGRWTH","Q","1984-Q1",-3.3749790020433,
"AUT","GFCFFORECAST","DEC2020FORECAST","AGRWTH","Q","1984-Q2",-0.809685500711324,
"AUT","GFCFFORECAST","DEC2020FORECAST","AGRWTH","Q","1984-Q3",1.28386411800382,
"AUT","GFCFFORECAST","DEC2020FORECAST","AGRWTH","Q","1984-Q4",4.46634489029189,
"AUT","GFCFFORECAST","DEC2020FORECAST","AGRWTH","Q","1985-Q1",10.3156828763539,
"AUT","GFCFFORECAST","DEC2020FORECAST","AGRWTH","Q","1985-Q2",8.27176653258049,
"AUT","GFCFFORECAST","DEC2020FORECAST","AGRWTH","Q","1985-Q3",7.04682857715816,
"AUT","GFCFFORECAST","DEC2020FORECAST","AGRWTH","Q","1985-Q4",4.24570184350233,
"AUT","GFCFFORECAST","DEC2020FORECAST","AGRWTH","Q","1986-Q1",-0.539535248728261,
"AUT","GFCFFORECAST","DEC2020FORECAST","AGRWTH","Q","1986-Q2",-0.644999762213546,
"AUT","GFCFFORECAST","DEC2020FORECAST","AGRWTH","Q","1986-Q3",-0.592054352411525,
"AUT","GFCFFORECAST","DEC2020FORECAST","AGRWTH","Q","1986-Q4",1.4123694694744,
"AUT","GFCFFORECAST","DEC2020FORECAST","AGRWTH","Q","1987-Q1",4.71435140989701,
"AUT","GFCFFORECAST","DEC2020FORECAST","AGRWTH","Q","1987-Q2",7.46947699223771,
"AUT","GFCFFORECAST","DEC2020FORECAST","AGRWTH","Q","1987-Q3",8.99633658347427,
"AUT","GFCFFORECAST","DEC2020FORECAST","AGRWTH","Q","1987-Q4",8.75346008313099,
"AUT","GFCFFORECAST","DEC2020FORECAST","AGRWTH","Q","1988-Q1",8.22695280859965,
"AUT","GFCFFORECAST","DEC2020FORECAST","AGRWTH","Q","1988-Q2",5.48509047111284,
"AUT","GFCFFORECAST","DEC2020FORECAST","AGRWTH","Q","1988-Q3",4.26290139455492,
"AUT","GFCFFORECAST","DEC2020FORECAST","AGRWTH","Q","1988-Q4",3.93209848128291,
"AUT","GFCFFORECAST","DEC2020FORECAST","AGRWTH","Q","1989-Q1",3.71746214311941,
"AUT","GFCFFORECAST","DEC2020FORECAST","AGRWTH","Q","1989-Q2",4.93025479081067,
"AUT","GFCFFORECAST","DEC2020FORECAST","AGRWTH","Q","1989-Q3",5.29618653077625,
"AUT","GFCFFORECAST","DEC2020FORECAST","AGRWTH","Q","1989-Q4",5.30964882985474,
"AUT","GFCFFORECAST","DEC2020FORECAST","AGRWTH","Q","1990-Q1",4.58254194611704,
"AUT","GFCFFORECAST","DEC2020FORECAST","AGRWTH","Q","1990-Q2",5.61412916349267,
"AUT","GFCFFORECAST","DEC2020FORECAST","AGRWTH","Q","1990-Q3",6.60146788191615,
"AUT","GFCFFORECAST","DEC2020FORECAST","AGRWTH","Q","1990-Q4",7.99757494052007,
"AUT","GFCFFORECAST","DEC2020FORECAST","AGRWTH","Q","1991-Q1",11.5483277761263,
"AUT","GFCFFORECAST","DEC2020FORECAST","AGRWTH","Q","1991-Q2",8.88647706520373,
"AUT","GFCFFORECAST","DEC2020FORECAST","AGRWTH","Q","1991-Q3",7.04791235373268,
"AUT","GFCFFORECAST","DEC2020FORECAST","AGRWTH","Q","1991-Q4",3.73336829974526,
"AUT","GFCFFORECAST","DEC2020FORECAST","AGRWTH","Q","1992-Q1",-1.27245878843465,
"AUT","GFCFFORECAST","DEC2020FORECAST","AGRWTH","Q","1992-Q2",-3.46089481487915,
"AUT","GFCFFORECAST","DEC2020FORECAST","AGRWTH","Q","1992-Q3",-5.11024536647125,
"AUT","GFCFFORECAST","DEC2020FORECAST","AGRWTH","Q","1992-Q4",-4.52435227725576,
"AUT","GFCFFORECAST","DEC2020FORECAST","AGRWTH","Q","1993-Q1",-3.6576795855392,
"AUT","GFCFFORECAST","DEC2020FORECAST","AGRWTH","Q","1993-Q2",1.99226797021371,
"AUT","GFCFFORECAST","DEC2020FORECAST","AGRWTH","Q","1993-Q3",5.38270323422302,
"AUT","GFCFFORECAST","DEC2020FORECAST","AGRWTH","Q","1993-Q4",6.91337597756333,
"AUT","GFCFFORECAST","DEC2020FORECAST","AGRWTH","Q","1994-Q1",9.21360343899654,
"AUT","GFCFFORECAST","DEC2020FORECAST","AGRWTH","Q","1994-Q2",3.75191687493666,
"AUT","GFCFFORECAST","DEC2020FORECAST","AGRWTH","Q","1994-Q3",1.10997249378847,
"AUT","GFCFFORECAST","DEC2020FORECAST","AGRWTH","Q","1994-Q4",-0.610319425690953,
"AUT","GFCFFORECAST","DEC2020FORECAST","AGRWTH","Q","1995-Q1",-5.93672425925994,
"AUT","GFCFFORECAST","DEC2020FORECAST","AGRWTH","Q","1995-Q2",4.33133542882383,
"AUT","GFCFFORECAST","DEC2020FORECAST","AGRWTH","Q","1995-Q3",2.56533304501104,
"AUT","GFCFFORECAST","DEC2020FORECAST","AGRWTH","Q","1995-Q4",5.78588938647925,
"AUT","GFCFFORECAST","DEC2020FORECAST","AGRWTH","Q","1996-Q1",4.17093923049081,
"AUT","GFCFFORECAST","DEC2020FORECAST","AGRWTH","Q","1996-Q2",5.61325509018094,
"AUT","GFCFFORECAST","DEC2020FORECAST","AGRWTH","Q","1996-Q3",6.61337750295987,
"AUT","GFCFFORECAST","DEC2020FORECAST","AGRWTH","Q","1996-Q4",-2.93590574642783,
"AUT","GFCFFORECAST","DEC2020FORECAST","AGRWTH","Q","1997-Q1",1.00355851325942,
"AUT","GFCFFORECAST","DEC2020FORECAST","AGRWTH","Q","1997-Q2",-2.27447356012344,
"AUT","GFCFFORECAST","DEC2020FORECAST","AGRWTH","Q","1997-Q3",1.52210619871255,
"AUT","GFCFFORECAST","DEC2020FORECAST","AGRWTH","Q","1997-Q4",4.27173718986167,
"AUT","GFCFFORECAST","DEC2020FORECAST","AGRWTH","Q","1998-Q1",11.0452802909808,
