"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"DNK","LFFORECAST","DEC2020FORECAST","PER","Q","1970-Q2",2352364.19466094,
"DNK","LFFORECAST","DEC2020FORECAST","PER","Q","1970-Q3",2360481.81748379,
"DNK","LFFORECAST","DEC2020FORECAST","PER","Q","1970-Q4",2368199.78320588,
"DNK","LFFORECAST","DEC2020FORECAST","PER","Q","1971-Q1",2379794.54644867,
"DNK","LFFORECAST","DEC2020FORECAST","PER","Q","1971-Q2",2384874.78871494,
"DNK","LFFORECAST","DEC2020FORECAST","PER","Q","1971-Q3",2389001.46926308,
"DNK","LFFORECAST","DEC2020FORECAST","PER","Q","1971-Q4",2393017.5569302,
"DNK","LFFORECAST","DEC2020FORECAST","PER","Q","1972-Q1",2396002.26169863,
"DNK","LFFORECAST","DEC2020FORECAST","PER","Q","1972-Q2",2401940.12947957,
"DNK","LFFORECAST","DEC2020FORECAST","PER","Q","1972-Q3",2407980.66707827,
"DNK","LFFORECAST","DEC2020FORECAST","PER","Q","1972-Q4",2412651.19951932,
"DNK","LFFORECAST","DEC2020FORECAST","PER","Q","1973-Q1",2426479.45471491,
"DNK","LFFORECAST","DEC2020FORECAST","PER","Q","1973-Q2",2424717.32445733,
"DNK","LFFORECAST","DEC2020FORECAST","PER","Q","1973-Q3",2421519.39937332,
"DNK","LFFORECAST","DEC2020FORECAST","PER","Q","1973-Q4",2419765.23974491,
"DNK","LFFORECAST","DEC2020FORECAST","PER","Q","1974-Q1",2404120.43293934,
"DNK","LFFORECAST","DEC2020FORECAST","PER","Q","1974-Q2",2412714.09153568,
"DNK","LFFORECAST","DEC2020FORECAST","PER","Q","1974-Q3",2424319.83523835,
"DNK","LFFORECAST","DEC2020FORECAST","PER","Q","1974-Q4",2434746.86313402,
"DNK","LFFORECAST","DEC2020FORECAST","PER","Q","1975-Q1",2462863.8506704,
"DNK","LFFORECAST","DEC2020FORECAST","PER","Q","1975-Q2",2459844.20253139,
"DNK","LFFORECAST","DEC2020FORECAST","PER","Q","1975-Q3",2451972.3857616,
"DNK","LFFORECAST","DEC2020FORECAST","PER","Q","1975-Q4",2443956.54936395,
"DNK","LFFORECAST","DEC2020FORECAST","PER","Q","1976-Q1",2420752.47907594,
"DNK","LFFORECAST","DEC2020FORECAST","PER","Q","1976-Q2",2425201.87687712,
"DNK","LFFORECAST","DEC2020FORECAST","PER","Q","1976-Q3",2435404.66073397,
"DNK","LFFORECAST","DEC2020FORECAST","PER","Q","1976-Q4",2447841.93832414,
"DNK","LFFORECAST","DEC2020FORECAST","PER","Q","1977-Q1",2460495.66262439,
"DNK","LFFORECAST","DEC2020FORECAST","PER","Q","1977-Q2",2467925.74388728,
"DNK","LFFORECAST","DEC2020FORECAST","PER","Q","1977-Q3",2473516.60095467,
"DNK","LFFORECAST","DEC2020FORECAST","PER","Q","1977-Q4",2480232.30054238,
"DNK","LFFORECAST","DEC2020FORECAST","PER","Q","1978-Q1",2471526.66255142,
"DNK","LFFORECAST","DEC2020FORECAST","PER","Q","1978-Q2",2488496.77229188,
"DNK","LFFORECAST","DEC2020FORECAST","PER","Q","1978-Q3",2510159.07448823,
"DNK","LFFORECAST","DEC2020FORECAST","PER","Q","1978-Q4",2534152.78564446,
"DNK","LFFORECAST","DEC2020FORECAST","PER","Q","1979-Q1",2560564.99117148,
"DNK","LFFORECAST","DEC2020FORECAST","PER","Q","1979-Q2",2582149.0766267,
"DNK","LFFORECAST","DEC2020FORECAST","PER","Q","1979-Q3",2599041.66175771,
"DNK","LFFORECAST","DEC2020FORECAST","PER","Q","1979-Q4",2608941.40427252,
"DNK","LFFORECAST","DEC2020FORECAST","PER","Q","1980-Q1",2649290.12785893,
