"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","LTUNEMP","TOT","PC_UNEMP","A","1994",18.4271754304327,
"AUT","LTUNEMP","TOT","PC_UNEMP","A","1995",29.144225014961,
"AUT","LTUNEMP","TOT","PC_UNEMP","A","1996",24.8637939574046,
"AUT","LTUNEMP","TOT","PC_UNEMP","A","1997",27.4987053340238,
"AUT","LTUNEMP","TOT","PC_UNEMP","A","1998",30.2939711011459,
"AUT","LTUNEMP","TOT","PC_UNEMP","A","1999",29.173599556295,
"AUT","LTUNEMP","TOT","PC_UNEMP","A","2000",25.8375724529263,
"AUT","LTUNEMP","TOT","PC_UNEMP","A","2001",23.3310064522021,
"AUT","LTUNEMP","TOT","PC_UNEMP","A","2002",19.2131723700491,
"AUT","LTUNEMP","TOT","PC_UNEMP","A","2003",24.5470964917081,
"AUT","LTUNEMP","TOT","PC_UNEMP","A","2004",27.8930528581584,
"AUT","LTUNEMP","TOT","PC_UNEMP","A","2005",25.5295061040244,
"AUT","LTUNEMP","TOT","PC_UNEMP","A","2006",27.9636636514843,
"AUT","LTUNEMP","TOT","PC_UNEMP","A","2007",27.2456825538187,
"AUT","LTUNEMP","TOT","PC_UNEMP","A","2008",24.3227529979008,
"AUT","LTUNEMP","TOT","PC_UNEMP","A","2009",21.6810131113076,
"AUT","LTUNEMP","TOT","PC_UNEMP","A","2010",25.4463757471112,
"AUT","LTUNEMP","TOT","PC_UNEMP","A","2011",26.2558504871443,
"AUT","LTUNEMP","TOT","PC_UNEMP","A","2012",24.9125091629393,
"AUT","LTUNEMP","TOT","PC_UNEMP","A","2013",24.5928924403851,
"AUT","LTUNEMP","TOT","PC_UNEMP","A","2014",27.2021202803428,
"AUT","LTUNEMP","TOT","PC_UNEMP","A","2015",29.215446315136,
"AUT","LTUNEMP","TOT","PC_UNEMP","A","2016",32.2886809062046,
"AUT","LTUNEMP","TOT","PC_UNEMP","A","2017",33.4254343612172,
"AUT","LTUNEMP","TOT","PC_UNEMP","A","2018",28.8987448132482,
"AUT","LTUNEMP","TOT","PC_UNEMP","A","2019",25.1328403692699,
