"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","YRLIFELOST","TOT","100000HAB_0_69","A","1990",6441.9,
"AUS","YRLIFELOST","TOT","100000HAB_0_69","A","1991",6123.6,
"AUS","YRLIFELOST","TOT","100000HAB_0_69","A","1992",6066.3,
"AUS","YRLIFELOST","TOT","100000HAB_0_69","A","1993",5747.5,
"AUS","YRLIFELOST","TOT","100000HAB_0_69","A","1994",5751.5,
"AUS","YRLIFELOST","TOT","100000HAB_0_69","A","1995",5580.7,
"AUS","YRLIFELOST","TOT","100000HAB_0_69","A","1996",5504.7,
"AUS","YRLIFELOST","TOT","100000HAB_0_69","A","1997",5371.7,
"AUS","YRLIFELOST","TOT","100000HAB_0_69","A","1998",5245.8,"B"
"AUS","YRLIFELOST","TOT","100000HAB_0_69","A","1999",5126.5,
"AUS","YRLIFELOST","TOT","100000HAB_0_69","A","2000",4944,
"AUS","YRLIFELOST","TOT","100000HAB_0_69","A","2001",4682.6,
"AUS","YRLIFELOST","TOT","100000HAB_0_69","A","2002",4584,
"AUS","YRLIFELOST","TOT","100000HAB_0_69","A","2003",4455.8,
"AUS","YRLIFELOST","TOT","100000HAB_0_69","A","2004",4317.9,
"AUS","YRLIFELOST","TOT","100000HAB_0_69","A","2006",4184.5,
"AUS","YRLIFELOST","TOT","100000HAB_0_69","A","2007",4071.5,
"AUS","YRLIFELOST","TOT","100000HAB_0_69","A","2008",4007.6,
"AUS","YRLIFELOST","TOT","100000HAB_0_69","A","2009",3961.5,
"AUS","YRLIFELOST","TOT","100000HAB_0_69","A","2010",3859.4,
"AUS","YRLIFELOST","TOT","100000HAB_0_69","A","2011",3795.7,
"AUS","YRLIFELOST","TOT","100000HAB_0_69","A","2012",3617,
"AUS","YRLIFELOST","TOT","100000HAB_0_69","A","2013",3605,
"AUS","YRLIFELOST","TOT","100000HAB_0_69","A","2014",3633.1,
"AUS","YRLIFELOST","TOT","100000HAB_0_69","A","2015",3669.8,
"AUS","YRLIFELOST","TOT","100000HAB_0_69","A","2016",3542.5,
"AUS","YRLIFELOST","TOT","100000HAB_0_69","A","2017",3503.3,
"AUT","YRLIFELOST","TOT","100000HAB_0_69","A","1990",7246.2,
"AUT","YRLIFELOST","TOT","100000HAB_0_69","A","1991",7241.2,
"AUT","YRLIFELOST","TOT","100000HAB_0_69","A","1992",7088.9,
"AUT","YRLIFELOST","TOT","100000HAB_0_69","A","1993",6977.1,
"AUT","YRLIFELOST","TOT","100000HAB_0_69","A","1994",6794.4,
"AUT","YRLIFELOST","TOT","100000HAB_0_69","A","1995",6557.5,
"AUT","YRLIFELOST","TOT","100000HAB_0_69","A","1996",6339.2,
"AUT","YRLIFELOST","TOT","100000HAB_0_69","A","1997",6019.1,
"AUT","YRLIFELOST","TOT","100000HAB_0_69","A","1998",5813,
"AUT","YRLIFELOST","TOT","100000HAB_0_69","A","1999",5699.9,
"AUT","YRLIFELOST","TOT","100000HAB_0_69","A","2000",5632.7,
"AUT","YRLIFELOST","TOT","100000HAB_0_69","A","2001",5389.6,
"AUT","YRLIFELOST","TOT","100000HAB_0_69","A","2002",5204.1,"B"
"AUT","YRLIFELOST","TOT","100000HAB_0_69","A","2003",5203.5,
"AUT","YRLIFELOST","TOT","100000HAB_0_69","A","2004",5017.8,
"AUT","YRLIFELOST","TOT","100000HAB_0_69","A","2005",4885.6,
"AUT","YRLIFELOST","TOT","100000HAB_0_69","A","2006",4610.9,
"AUT","YRLIFELOST","TOT","100000HAB_0_69","A","2007",4536.7,
"AUT","YRLIFELOST","TOT","100000HAB_0_69","A","2008",4407.1,
"AUT","YRLIFELOST","TOT","100000HAB_0_69","A","2009",4542.4,
"AUT","YRLIFELOST","TOT","100000HAB_0_69","A","2010",4465.1,
"AUT","YRLIFELOST","TOT","100000HAB_0_69","A","2011",4276.7,
"AUT","YRLIFELOST","TOT","100000HAB_0_69","A","2012",4132,
"AUT","YRLIFELOST","TOT","100000HAB_0_69","A","2013",4012.2,
"AUT","YRLIFELOST","TOT","100000HAB_0_69","A","2014",3945,
"AUT","YRLIFELOST","TOT","100000HAB_0_69","A","2015",3906.6,
"AUT","YRLIFELOST","TOT","100000HAB_0_69","A","2016",3774.1,
"AUT","YRLIFELOST","TOT","100000HAB_0_69","A","2017",3660.3,
"BEL","YRLIFELOST","TOT","100000HAB_0_69","A","1990",7014.8,
"BEL","YRLIFELOST","TOT","100000HAB_0_69","A","1991",6938.3,
"BEL","YRLIFELOST","TOT","100000HAB_0_69","A","1992",6873.6,
"BEL","YRLIFELOST","TOT","100000HAB_0_69","A","1993",6774.8,
"BEL","YRLIFELOST","TOT","100000HAB_0_69","A","1994",6715.5,
"BEL","YRLIFELOST","TOT","100000HAB_0_69","A","1995",6540.5,
"BEL","YRLIFELOST","TOT","100000HAB_0_69","A","1996",6267.5,
"BEL","YRLIFELOST","TOT","100000HAB_0_69","A","1997",6162.7,
"BEL","YRLIFELOST","TOT","100000HAB_0_69","A","1998",6050.2,"B"
"BEL","YRLIFELOST","TOT","100000HAB_0_69","A","1999",5969.2,
"BEL","YRLIFELOST","TOT","100000HAB_0_69","A","2000",5984.8,
"BEL","YRLIFELOST","TOT","100000HAB_0_69","A","2001",5837.6,
"BEL","YRLIFELOST","TOT","100000HAB_0_69","A","2002",5678.2,
"BEL","YRLIFELOST","TOT","100000HAB_0_69","A","2003",5475.7,
"BEL","YRLIFELOST","TOT","100000HAB_0_69","A","2004",5199.5,
"BEL","YRLIFELOST","TOT","100000HAB_0_69","A","2005",5164.4,
"BEL","YRLIFELOST","TOT","100000HAB_0_69","A","2006",4984.7,
"BEL","YRLIFELOST","TOT","100000HAB_0_69","A","2007",5040.4,
"BEL","YRLIFELOST","TOT","100000HAB_0_69","A","2008",4955.8,
"BEL","YRLIFELOST","TOT","100000HAB_0_69","A","2009",4815.3,
"BEL","YRLIFELOST","TOT","100000HAB_0_69","A","2010",4774.5,
"BEL","YRLIFELOST","TOT","100000HAB_0_69","A","2011",4652.2,
"BEL","YRLIFELOST","TOT","100000HAB_0_69","A","2012",4587.7,
"BEL","YRLIFELOST","TOT","100000HAB_0_69","A","2013",4436.3,
"BEL","YRLIFELOST","TOT","100000HAB_0_69","A","2014",4226.2,
"BEL","YRLIFELOST","TOT","100000HAB_0_69","A","2015",4209.8,
"BEL","YRLIFELOST","TOT","100000HAB_0_69","A","2016",4078.2,
"CAN","YRLIFELOST","TOT","100000HAB_0_69","A","1990",6595.3,
"CAN","YRLIFELOST","TOT","100000HAB_0_69","A","1991",6386.1,
"CAN","YRLIFELOST","TOT","100000HAB_0_69","A","1992",6118.7,
"CAN","YRLIFELOST","TOT","100000HAB_0_69","A","1993",6100,
"CAN","YRLIFELOST","TOT","100000HAB_0_69","A","1994",5979.6,
"CAN","YRLIFELOST","TOT","100000HAB_0_69","A","1995",5894,
"CAN","YRLIFELOST","TOT","100000HAB_0_69","A","1996",5688.4,
"CAN","YRLIFELOST","TOT","100000HAB_0_69","A","1997",5508.3,
"CAN","YRLIFELOST","TOT","100000HAB_0_69","A","1998",5342.1,
"CAN","YRLIFELOST","TOT","100000HAB_0_69","A","1999",5254.1,
"CAN","YRLIFELOST","TOT","100000HAB_0_69","A","2000",5100,"B"
"CAN","YRLIFELOST","TOT","100000HAB_0_69","A","2001",5027.8,
"CAN","YRLIFELOST","TOT","100000HAB_0_69","A","2002",4958.4,
"CAN","YRLIFELOST","TOT","100000HAB_0_69","A","2003",4908.1,
"CAN","YRLIFELOST","TOT","100000HAB_0_69","A","2004",4775.1,
"CAN","YRLIFELOST","TOT","100000HAB_0_69","A","2005",4794.7,
"CAN","YRLIFELOST","TOT","100000HAB_0_69","A","2006",4738.5,
"CAN","YRLIFELOST","TOT","100000HAB_0_69","A","2007",4619.5,
"CAN","YRLIFELOST","TOT","100000HAB_0_69","A","2008",4535.3,
"CAN","YRLIFELOST","TOT","100000HAB_0_69","A","2009",4401.7,
"CAN","YRLIFELOST","TOT","100000HAB_0_69","A","2010",4274.9,
"CAN","YRLIFELOST","TOT","100000HAB_0_69","A","2011",4241.7,
"CAN","YRLIFELOST","TOT","100000HAB_0_69","A","2012",4148.9,
"CAN","YRLIFELOST","TOT","100000HAB_0_69","A","2013",4125.5,
"CAN","YRLIFELOST","TOT","100000HAB_0_69","A","2014",4112.3,
"CAN","YRLIFELOST","TOT","100000HAB_0_69","A","2015",4098.6,
"CAN","YRLIFELOST","TOT","100000HAB_0_69","A","2016",4164.3,
"CAN","YRLIFELOST","TOT","100000HAB_0_69","A","2017",4169,
"CZE","YRLIFELOST","TOT","100000HAB_0_69","A","1990",10388.6,
"CZE","YRLIFELOST","TOT","100000HAB_0_69","A","1991",9935.4,
"CZE","YRLIFELOST","TOT","100000HAB_0_69","A","1992",9674.2,
"CZE","YRLIFELOST","TOT","100000HAB_0_69","A","1993",9090.7,
"CZE","YRLIFELOST","TOT","100000HAB_0_69","A","1994",8909.6,"B"
"CZE","YRLIFELOST","TOT","100000HAB_0_69","A","1995",8762.7,
"CZE","YRLIFELOST","TOT","100000HAB_0_69","A","1996",8219.5,
"CZE","YRLIFELOST","TOT","100000HAB_0_69","A","1997",8200.8,
"CZE","YRLIFELOST","TOT","100000HAB_0_69","A","1998",7625.2,
"CZE","YRLIFELOST","TOT","100000HAB_0_69","A","1999",7454.3,
"CZE","YRLIFELOST","TOT","100000HAB_0_69","A","2000",7316.2,
"CZE","YRLIFELOST","TOT","100000HAB_0_69","A","2001",7053.9,
"CZE","YRLIFELOST","TOT","100000HAB_0_69","A","2002",7008.2,
"CZE","YRLIFELOST","TOT","100000HAB_0_69","A","2003",6993.6,
"CZE","YRLIFELOST","TOT","100000HAB_0_69","A","2004",6679.9,
"CZE","YRLIFELOST","TOT","100000HAB_0_69","A","2005",6513.7,
"CZE","YRLIFELOST","TOT","100000HAB_0_69","A","2006",6201.3,
"CZE","YRLIFELOST","TOT","100000HAB_0_69","A","2007",6095.8,
"CZE","YRLIFELOST","TOT","100000HAB_0_69","A","2008",5941.3,
"CZE","YRLIFELOST","TOT","100000HAB_0_69","A","2009",5801.5,
"CZE","YRLIFELOST","TOT","100000HAB_0_69","A","2010",5653,
"CZE","YRLIFELOST","TOT","100000HAB_0_69","A","2011",5522.4,
"CZE","YRLIFELOST","TOT","100000HAB_0_69","A","2012",5359.1,
