"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","1990",233031.942408867,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","1991",241052.033622425,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","1992",246098.51756195,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","1993",247394.987832943,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","1994",253337.709263159,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","1995",260096.717962035,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","1996",266334.654730476,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","1997",272430.400381502,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","1998",282018.298062278,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","1999",291533.835735493,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2000",302638.931051531,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2001",306100.360768294,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2002",310664.366429733,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2003",313730.703303555,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2004",321596.769357018,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2005",329305.543395161,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2006",341670.619568445,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2007",354229.213513927,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2008",357663.139083553,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2009",345324.636546378,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2010",351629.72459902,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2011",362303.365838538,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2012",364368.869770318,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2013",364390.958414582,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2014",367718.929319915,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2015",371652.389573612,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2016",377208.703840443,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2017",388902.863737408,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2018",399584.945589007,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2019",407581.319274482,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2020",412249.4,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2021",416781.3,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2022",421635.5,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2023",426882.7,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2024",432577.4,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2025",438767.7,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2026",445404.5,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2027",452513.5,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2028",460090.5,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2029",468142.5,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2030",476680.2,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2031",485708.1,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2032",495210.2,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2033",505156.8,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2034",515503.4,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2035",526193.3,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2036",537178.9,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2037",548355.4,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2038",559681,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2039",571116.7,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2040",582628.2,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2041",594191.9,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2042",605865.4,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2043",617652,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2044",629556.2,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2045",641575,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2046",653701.6,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2047",665850.3,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2048",678007.5,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2049",690162.1,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2050",702311.5,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2051",714465.1,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2052",726724.9,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2053",739124.6,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2054",751700.8,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2055",764490.1,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2056",777526.5,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2057",790752.6,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2058",804194,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2059",817859.6,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2060",831738.5,
